quadra;area_construida_vertical_2013;area_construida_vertical_2023;delta_pde
001003;6832.0;6832.0;0.0
001004;3796.0;3796.0;0.0
001005;3594.0;3594.0;0.0
001006;2517.0;2517.0;0.0
001007;4827.0;8350.0;3523.0
001008;3910.0;7427.0;3517.0
001009;2181.0;5069.0;2888.0
001010;3462.0;3739.0;277.0
001011;17299.0;17299.0;0.0
001012;29923.0;29923.0;0.0
001014;500.0;500.0;0.0
001015;742.0;742.0;0.0
001017;210.0;210.0;0.0
001019;19427.0;34965.0;15538.0
001020;13698.0;22873.0;9175.0
001021;3180.0;19564.0;16384.0
001023;31397.0;32309.0;912.0
001024;1678.0;1678.0;0.0
001025;3750.0;3750.0;0.0
001026;5628.0;5628.0;0.0
001027;4680.0;4683.0;3.0
001029;6714.0;20777.0;14063.0
001031;3883.0;3883.0;0.0
001032;2950.0;2950.0;0.0
001034;3864.0;3864.0;0.0
001035;8421.0;8421.0;0.0
001037;14197.0;25285.0;11088.0
001038;1008.0;1008.0;0.0
001039;872.0;872.0;0.0
001042;30286.0;30286.0;0.0
001044;31277.0;31277.0;0.0
001045;13091.0;13091.0;0.0
001046;5786.0;11423.0;5637.0
001048;24046.0;24046.0;0.0
001049;2762.0;2762.0;0.0
001050;1391.0;1391.0;0.0
001051;5433.0;5433.0;0.0
001052;8484.0;8484.0;0.0
001053;20622.0;32924.0;12302.0
001054;8974.0;8974.0;0.0
001055;21430.0;28991.0;7561.0
001057;6296.0;6296.0;0.0
001068;3086.0;3086.0;0.0
001072;25.0;25.0;0.0
001075;1712.0;1712.0;0.0
001077;4043.0;4043.0;0.0
002001;9863.0;16675.0;6812.0
002003;2991.0;2991.0;0.0
002008;2337.0;2337.0;0.0
002011;2102.0;2102.0;0.0
002016;622.0;622.0;0.0
002017;5436.0;5436.0;0.0
002027;12064.0;12064.0;0.0
002028;4454.0;4454.0;0.0
002029;2847.0;2980.0;133.0
002033;784.0;784.0;0.0
002038;5454.0;5454.0;0.0
002039;3330.0;3715.0;385.0
002041;651.0;35675.0;35024.0
002042;6299.0;6299.0;0.0
002043;9301.0;9301.0;0.0
002044;4584.0;4584.0;0.0
002045;5452.0;5452.0;0.0
002046;8251.0;8251.0;0.0
002047;746.0;1370.0;624.0
002049;23064.0;23064.0;0.0
002053;11223.0;11223.0;0.0
002054;4934.0;4934.0;0.0
002055;5417.0;5417.0;0.0
002056;2708.0;2708.0;0.0
002058;945.0;945.0;0.0
002059;52.0;52.0;0.0
002064;1412.0;1412.0;0.0
002065;1121.0;1121.0;0.0
002066;2132.0;2132.0;0.0
002067;7101.0;7101.0;0.0
002070;26178.0;26178.0;0.0
002071;4134.0;4290.0;156.0
002073;1416.0;1416.0;0.0
002074;8763.0;8763.0;0.0
002075;3762.0;3762.0;0.0
002076;7571.0;7597.0;26.0
002077;1974.0;1974.0;0.0
002078;5890.0;5890.0;0.0
002079;150.0;150.0;0.0
002080;7753.0;36819.0;29066.0
002081;6048.0;6048.0;0.0
002082;1530.0;1530.0;0.0
002083;70.0;70.0;0.0
002084;8391.0;8391.0;0.0
002085;810.0;810.0;0.0
002086;4926.0;4926.0;0.0
002089;1111.0;1111.0;0.0
003001;163.0;163.0;0.0
003002;7201.0;7201.0;0.0
003003;9444.0;9444.0;0.0
003004;10371.0;10371.0;0.0
003006;936.0;936.0;0.0
003007;17527.0;18273.0;746.0
003008;2608.0;2608.0;0.0
003010;1287.0;1287.0;0.0
003011;4027.0;15382.0;11355.0
003012;2887.0;2887.0;0.0
003013;7286.0;7286.0;0.0
003015;9497.0;60109.0;50612.0
003019;23944.0;31834.0;7890.0
003020;1872.0;14682.0;12810.0
003021;1812.0;1812.0;0.0
003022;2188.0;2188.0;0.0
003027;837.0;837.0;0.0
003028;3335.0;48158.0;44823.0
003029;13392.0;13392.0;0.0
003033;1910.0;1910.0;0.0
003034;7616.0;7616.0;0.0
003035;1809.0;1809.0;0.0
003036;6828.0;7035.0;207.0
003041;3663.0;3663.0;0.0
003042;1092.0;60873.0;59781.0
003044;5197.0;5197.0;0.0
003045;1426.0;1426.0;0.0
003046;6556.0;6556.0;0.0
003048;719.0;719.0;0.0
003054;812.0;812.0;0.0
003056;498.0;498.0;0.0
003058;1756.0;1756.0;0.0
003059;842.0;842.0;0.0
003060;3457.0;121856.0;118399.0
003061;13189.0;13189.0;0.0
003063;4763.0;4763.0;0.0
003067;15540.0;15540.0;0.0
003068;41136.0;41136.0;0.0
003069;28272.0;28272.0;0.0
004004;4812.0;4812.0;0.0
004005;26749.0;26749.0;0.0
004006;1399.0;1399.0;0.0
004007;1591.0;1591.0;0.0
004009;2682.0;2682.0;0.0
004010;912.0;912.0;0.0
004014;2850.0;3695.0;845.0
004017;542.0;542.0;0.0
004018;1633.0;1633.0;0.0
004026;654.0;654.0;0.0
004027;1106.0;1106.0;0.0
004028;4260.0;4260.0;0.0
004030;696.0;696.0;0.0
004033;9760.0;9760.0;0.0
004034;22848.0;22848.0;0.0
004035;1264.0;1264.0;0.0
004037;21750.0;45583.0;23833.0
004042;841.0;841.0;0.0
004043;11691.0;12924.0;1233.0
004044;2963.0;2963.0;0.0
004048;87522.0;87522.0;0.0
004049;455.0;35941.0;35486.0
004050;2341.0;15077.0;12736.0
004052;1142.0;46433.0;45291.0
004054;5680.0;15366.0;9686.0
004056;37783.0;37783.0;0.0
004057;3218.0;3218.0;0.0
004059;2693.0;4346.0;1653.0
004061;46756.0;57119.0;10363.0
004063;3496.0;20036.0;16540.0
004064;287.0;287.0;0.0
004065;1852.0;1852.0;0.0
004066;820.0;1900.0;1080.0
004067;9180.0;10268.0;1088.0
004068;2504.0;2504.0;0.0
004069;1000.0;1000.0;0.0
004070;1968.0;1968.0;0.0
004071;1200.0;1200.0;0.0
004072;958.0;958.0;0.0
005002;2307.0;2307.0;0.0
005006;4192.0;4192.0;0.0
005007;13922.0;13922.0;0.0
005014;3068.0;3068.0;0.0
005016;9978.0;9978.0;0.0
005017;30265.0;39122.0;8857.0
005019;1360.0;9843.0;8483.0
005021;58.0;58.0;0.0
005022;870.0;870.0;0.0
005023;16314.0;32548.0;16234.0
005024;16649.0;44139.0;27490.0
005025;2115.0;2148.0;33.0
005030;196.0;196.0;0.0
005033;30402.0;30497.0;95.0
005034;24948.0;27750.0;2802.0
005035;33999.0;70231.0;36232.0
005038;6772.0;6791.0;19.0
005039;22528.0;22528.0;0.0
005040;783.0;20489.0;19706.0
005043;7024.0;7024.0;0.0
005044;4488.0;4488.0;0.0
005045;1876.0;1876.0;0.0
005046;12820.0;33839.0;21019.0
005048;57021.0;61376.0;4355.0
005051;3254.0;3254.0;0.0
005053;9607.0;9607.0;0.0
005061;2863.0;2863.0;0.0
005062;1766.0;1766.0;0.0
005063;17849.0;17849.0;0.0
005064;5134.0;5509.0;375.0
005065;10790.0;10790.0;0.0
005066;26252.0;26252.0;0.0
005068;13948.0;15148.0;1200.0
005069;77583.0;96549.0;18966.0
005071;12584.0;12584.0;0.0
005072;3283.0;3283.0;0.0
005073;2542.0;2542.0;0.0
005074;3610.0;4383.0;773.0
005076;104734.0;114778.0;10044.0
005077;50500.0;50500.0;0.0
005078;43472.0;60454.0;16982.0
005079;424.0;424.0;0.0
005080;10661.0;10661.0;0.0
005083;5800.0;5800.0;0.0
005086;10854.0;13159.0;2305.0
005087;1759.0;1759.0;0.0
005088;3362.0;3362.0;0.0
005089;1040.0;1040.0;0.0
005092;3629.0;3629.0;0.0
006001;14579.0;35072.0;20493.0
006003;5106.0;5106.0;0.0
006006;980.0;3458.0;2478.0
006007;59786.0;59870.0;84.0
006008;5306.0;5306.0;0.0
006009;555.0;891.0;336.0
006010;16516.0;20176.0;3660.0
006011;44013.0;74257.0;30244.0
006012;51619.0;51619.0;0.0
006013;68007.0;73273.0;5266.0
006019;19229.0;27973.0;8744.0
006020;36543.0;85220.0;48677.0
006022;48462.0;71118.0;22656.0
006023;4116.0;4184.0;68.0
006024;4652.0;8513.0;3861.0
006025;3516.0;3516.0;0.0
006030;46127.0;72071.0;25944.0
006032;11887.0;36885.0;24998.0
006033;47645.0;47645.0;0.0
006035;12639.0;12639.0;0.0
006038;12486.0;34794.0;22308.0
006039;11013.0;11013.0;0.0
006040;61321.0;61344.0;23.0
006042;54874.0;55005.0;131.0
006043;4386.0;4386.0;0.0
