ds_origem_nome;ds_destino_nome;duracao_media
AGUA RASA;AGUA RASA;7.918367346938775
AGUA RASA;ARICANDUVA;25.0
AGUA RASA;ARTUR ALVIM;30.0
AGUA RASA;BARRA FUNDA;58.0
AGUA RASA;BELA VISTA;30.0
AGUA RASA;BELEM;25.0
AGUA RASA;BOM RETIRO;10.0
AGUA RASA;BRAS;17.09090909090909
AGUA RASA;CAMBUCI;46.42857142857143
AGUA RASA;CARRAO;22.5
AGUA RASA;CONSOLACAO;46.666666666666664
AGUA RASA;Fora São Paulo;46.0
AGUA RASA;IPIRANGA;25.0
AGUA RASA;ITAIM BIBI;74.44444444444444
AGUA RASA;ITAQUERA;70.0
AGUA RASA;JABAQUARA;30.0
AGUA RASA;JARDIM PAULISTA;55.0
AGUA RASA;LAPA;90.0
AGUA RASA;LIBERDADE;35.0
AGUA RASA;LIMAO;30.0
AGUA RASA;MOEMA;65.0
AGUA RASA;MOOCA;24.0
AGUA RASA;PENHA;100.0
AGUA RASA;PINHEIROS;65.0
AGUA RASA;RAPOSO TAVARES;120.0
AGUA RASA;REPUBLICA;47.5
AGUA RASA;SACOMA;45.0
AGUA RASA;SAPOPEMBA;27.5
AGUA RASA;SAUDE;80.0
AGUA RASA;SE;48.0
AGUA RASA;TATUAPE;28.5
AGUA RASA;VILA FORMOSA;11.0
AGUA RASA;VILA MARIA;36.0
AGUA RASA;VILA MARIANA;30.0
AGUA RASA;VILA MATILDE;65.0
AGUA RASA;VILA PRUDENTE;14.444444444444445
ALTO DE PINHEIROS;ALTO DE PINHEIROS;7.4324324324324325
ALTO DE PINHEIROS;ANHANGUERA;80.0
ALTO DE PINHEIROS;BARRA FUNDA;32.857142857142854
ALTO DE PINHEIROS;BELA VISTA;35.36363636363637
ALTO DE PINHEIROS;BOM RETIRO;55.0
ALTO DE PINHEIROS;BUTANTA;20.625
ALTO DE PINHEIROS;CAMBUCI;30.0
ALTO DE PINHEIROS;CAMPO BELO;40.0
ALTO DE PINHEIROS;CAMPO GRANDE;30.0
ALTO DE PINHEIROS;CAMPO LIMPO;95.0
ALTO DE PINHEIROS;CAPAO REDONDO;50.0
ALTO DE PINHEIROS;CARRAO;60.0
ALTO DE PINHEIROS;CASA VERDE;42.5
ALTO DE PINHEIROS;CONSOLACAO;35.76923076923077
ALTO DE PINHEIROS;FREGUESIA DO O;40.0
ALTO DE PINHEIROS;Fora São Paulo;45.416666666666664
ALTO DE PINHEIROS;ITAIM BIBI;35.0
ALTO DE PINHEIROS;ITAIM PAULISTA;70.0
ALTO DE PINHEIROS;JABAQUARA;60.0
ALTO DE PINHEIROS;JAGUARA;40.0
ALTO DE PINHEIROS;JARDIM PAULISTA;28.529411764705884
ALTO DE PINHEIROS;JARDIM SAO LUIS;45.0
ALTO DE PINHEIROS;LAPA;16.34285714285714
ALTO DE PINHEIROS;MOEMA;37.5
ALTO DE PINHEIROS;MORUMBI;34.166666666666664
ALTO DE PINHEIROS;PERDIZES;27.77777777777778
ALTO DE PINHEIROS;PINHEIROS;21.442307692307693
ALTO DE PINHEIROS;PIRITUBA;27.5
ALTO DE PINHEIROS;REPUBLICA;95.0
ALTO DE PINHEIROS;RIO PEQUENO;25.0
ALTO DE PINHEIROS;SANTA CECILIA;35.0
ALTO DE PINHEIROS;SANTANA;50.0
ALTO DE PINHEIROS;SANTO AMARO;34.166666666666664
ALTO DE PINHEIROS;SAO DOMINGOS;15.0
ALTO DE PINHEIROS;SAO LUCAS;40.0
ALTO DE PINHEIROS;SE;48.75
ALTO DE PINHEIROS;TUCURUVI;70.0
ALTO DE PINHEIROS;VILA ANDRADE;40.0
ALTO DE PINHEIROS;VILA LEOPOLDINA;15.294117647058824
ALTO DE PINHEIROS;VILA MARIANA;33.333333333333336
ALTO DE PINHEIROS;VILA SONIA;20.0
ANHANGUERA;ANHANGUERA;14.681818181818182
ANHANGUERA;BARRA FUNDA;85.0
ANHANGUERA;BELA VISTA;75.0
ANHANGUERA;Fora São Paulo;57.5
ANHANGUERA;ITAIM BIBI;74.33333333333333
ANHANGUERA;JABAQUARA;95.0
ANHANGUERA;JAGUARA;30.0
ANHANGUERA;JAGUARE;30.0
ANHANGUERA;JARAGUA;45.833333333333336
ANHANGUERA;JARDIM PAULISTA;112.5
ANHANGUERA;LAPA;77.5
ANHANGUERA;MANDAQUI;120.0
ANHANGUERA;PARI;135.0
ANHANGUERA;PERDIZES;70.0
ANHANGUERA;PERUS;30.0
ANHANGUERA;PINHEIROS;102.5
ANHANGUERA;PIRITUBA;37.5
ANHANGUERA;SANTA CECILIA;120.0
ANHANGUERA;SANTANA;120.0
ANHANGUERA;SANTO AMARO;60.0
ANHANGUERA;SAO DOMINGOS;33.333333333333336
ANHANGUERA;SAUDE;60.0
ANHANGUERA;VILA LEOPOLDINA;80.83333333333333
ANHANGUERA;VILA MARIA;70.0
ANHANGUERA;VILA SONIA;90.0
ARICANDUVA;AGUA RASA;40.0
ARICANDUVA;ARICANDUVA;12.0
ARICANDUVA;BELEM;45.0
ARICANDUVA;BOM RETIRO;90.0
ARICANDUVA;BRAS;46.666666666666664
ARICANDUVA;CARRAO;31.428571428571427
ARICANDUVA;CONSOLACAO;90.0
ARICANDUVA;Fora São Paulo;165.0
ARICANDUVA;IGUATEMI;25.0
ARICANDUVA;IPIRANGA;75.0
ARICANDUVA;ITAIM BIBI;85.0
ARICANDUVA;JABAQUARA;120.0
ARICANDUVA;JARDIM PAULISTA;140.0
ARICANDUVA;LIBERDADE;70.0
ARICANDUVA;MANDAQUI;60.0
ARICANDUVA;MOOCA;30.0
ARICANDUVA;PARQUE DO CARMO;55.0
