ds_origem_nome;DURACAO
AGUA RASA;29.467032967032967
ALTO DE PINHEIROS;25.664788732394367
ANHANGUERA;55.254901960784316
ARICANDUVA;42.08411214953271
ARTUR ALVIM;45.71544715447155
BARRA FUNDA;26.79672131147541
BELA VISTA;23.289669861554845
BELEM;31.242696629213484
BOM RETIRO;23.126050420168067
BRAS;24.73633879781421
BRASILANDIA;50.445859872611464
BUTANTA;31.20149253731343
CACHOEIRINHA;41.55384615384615
CAMBUCI;27.94009216589862
CAMPO BELO;28.894093686354378
CAMPO GRANDE;39.399317406143346
CAMPO LIMPO;47.26433121019108
CANGAIBA;39.41290322580645
CAPAO REDONDO;55.2648401826484
CARRAO;34.99300699300699
CASA VERDE;33.39393939393939
CIDADE ADEMAR;44.31987577639752
CIDADE DUTRA;51.65633802816902
CIDADE LIDER;41.156565656565654
CIDADE TIRADENTES;82.65168539325843
CONSOLACAO;26.171301446051167
CURSINO;38.27777777777778
ERMELINO MATARAZZO;50.13380281690141
FREGUESIA DO O;39.173758865248224
GRAJAU;77.61290322580645
GUAIANASES;63.450450450450454
IGUATEMI;62.318627450980394
IPIRANGA;31.498154981549817
ITAIM BIBI;18.867811158798283
ITAIM PAULISTA;64.43181818181819
ITAQUERA;52.11437908496732
JABAQUARA;33.006079027355625
JACANA;41.21556886227545
JAGUARA;30.144736842105264
JAGUARE;40.473684210526315
JARAGUA;56.75728155339806
JARDIM ANGELA;71.53703703703704
JARDIM HELENA;48.048780487804876
JARDIM PAULISTA;23.88496583143508
JARDIM SAO LUIS;55.75932203389831
JOSE BONIFACIO;63.18518518518518
LAJEADO;62.64052287581699
LAPA;31.778242677824267
LIBERDADE;30.9520202020202
LIMAO;38.055813953488375
MANDAQUI;46.4320987654321
MARSILAC;90.56756756756756
MOEMA;25.05738880918221
MOOCA;29.955307262569832
MORUMBI;32.775652173913045
PARELHEIROS;77.74545454545455
PARI;21.70815450643777
PARQUE DO CARMO;40.27777777777778
PEDREIRA;56.31730769230769
PENHA;41.15094339622642
PERDIZES;29.780263157894737
PERUS;67.71111111111111
PINHEIROS;22.48936170212766
PIRITUBA;41.25342465753425
PONTE RASA;50.515625
RAPOSO TAVARES;52.2
REPUBLICA;20.744493392070485
RIO PEQUENO;37.39336492890995
SACOMA;39.205438066465256
SANTA CECILIA;26.464882943143813
SANTANA;33.87
SANTO AMARO;28.511226252158895
SAO DOMINGOS;36.92660550458716
SAO LUCAS;46.23841059602649
SAO MATEUS;50.25
SAO MIGUEL;48.81981981981982
SAO RAFAEL;44.687943262411345
SAPOPEMBA;44.121107266435985
SAUDE;31.46419098143236
SE;16.249169435215947
SOCORRO;40.644067796610166
TATUAPE;31.484764542936286
TREMEMBE;57.43478260869565
TUCURUVI;35.53586497890296
VILA ANDRADE;37.94183445190156
VILA CURUCA;58.51145038167939
VILA FORMOSA;32.07534246575342
VILA GUILHERME;31.783333333333335
VILA JACUI;54.85304659498208
VILA LEOPOLDINA;31.783261802575108
VILA MARIA;25.29447852760736
VILA MARIANA;29.045066991473814
VILA MATILDE;36.51428571428571
VILA MEDEIROS;31.362068965517242
VILA PRUDENTE;30.937254901960785
VILA SONIA;35.74020618556701
