ds_nome;percent_empregos
AGUA RASA;0.007402846078277678
ALTO DE PINHEIROS;0.003344221314452693
ANHANGUERA;0.0005869586235008907
ARICANDUVA;0.004771876820078166
ARTUR ALVIM;0.001393581465506835
BARRA FUNDA;0.017773371940024367
BELA VISTA;0.030049849205281486
BELEM;0.011727658538826723
BOM RETIRO;0.014366867454034857
BRAS;0.011223096485412084
BRASILANDIA;0.00217660074857104
BUTANTA;0.011255875208271725
CACHOEIRINHA;0.0026670942173115625
CAMBUCI;0.008954348306277334
CAMPO BELO;0.01016860029348291
CAMPO GRANDE;0.008301292521532581
CAMPO LIMPO;0.0041240023043694046
CANGAIBA;0.003497536504469079
CAPAO REDONDO;0.0029237469397679996
CARRAO;0.005954213629263434
CASA VERDE;0.00708578119810298
CIDADE ADEMAR;0.005327424000048359
CIDADE DUTRA;0.00755213139237718
CIDADE LIDER;0.002307463772764796
CIDADE TIRADENTES;0.0016855315832709633
CONSOLACAO;0.020899872011860502
CURSINO;0.007494921546771442
ERMELINO MATARAZZO;0.0076625931697417195
FREGUESIA DO O;0.004460389000324153
GRAJAU;0.0036525428031291556
GUAIANASES;0.0017493619393115802
MOEMA;0.015248078981538097
IGUATEMI;0.0009329162747582354
IPIRANGA;0.01583158342568166
ITAIM BIBI;0.06634701355070964
ITAIM PAULISTA;0.003899912418562775
ITAQUERA;0.005215918772669626
JABAQUARA;0.018516020501849806
JACANA;0.004291206173885045
JAGUARA;0.00558547998286871
JAGUARE;0.013078278648576795
JARAGUA;0.00287384124426161
JARDIM ANGELA;0.002730420838862569
JARDIM HELENA;0.002031453253493336
JARDIM PAULISTA;0.020186080240082737
JARDIM SAO LUIS;0.008482816842967143
JOSE BONIFACIO;0.00387371822510304
LAPA;0.022776354947728734
LIBERDADE;0.008521316550387356
LIMAO;0.004939188632698723
MANDAQUI;0.004695812912147014
MARSILAC;0.0009574193595742782
MOOCA;0.010821835983402524
MORUMBI;0.012092110442059758
PARELHEIROS;0.0014748986045439226
PARI;0.003577846174526946
PARQUE DO CARMO;0.005089517396812419
PEDREIRA;0.00276104069962388
PENHA;0.006325753796385986
PERDIZES;0.009387919777691895
PERUS;0.0013187768937997085
PINHEIROS;0.024524313626676397
PIRITUBA;0.010504447273913078
PONTE RASA;0.0024123484897086503
RAPOSO TAVARES;0.0032148694937277683
REPUBLICA;0.025154449492143887
RIO PEQUENO;0.007152382093836453
SACOMA;0.0070937689878668
SANTA CECILIA;0.014161631630553643
SANTANA;0.015969246865485155
SANTO AMARO;0.04773492368548416
SAO LUCAS;0.0034869220991522905
SAO MATEUS;0.005493944229899528
SAO MIGUEL;0.0024966880356834
SAO RAFAEL;0.0026643236776187065
SAPOPEMBA;0.00526172263018919
SAUDE;0.10195542892470066
SE;0.05316244692482508
SOCORRO;0.007507514909011699
TATUAPE;0.01573763694336934
TREMEMBE;0.002355174625137884
TUCURUVI;0.003513763951241524
VILA ANDRADE;0.005960978063838201
VILA CURUCA;0.0017841915811646336
VILA FORMOSA;0.007053830039047699
VILA GUILHERME;0.010556835660832547
VILA JACUI;0.002520327575660111
VILA LEOPOLDINA;0.011636878387591957
VILA MARIA;0.014655111525196855
VILA MARIANA;0.02204892636369652
VILA MATILDE;0.008223537504957737
VILA MEDEIROS;0.003669345946461156
VILA PRUDENTE;0.005671834466801901
VILA SONIA;0.00696200643779874
SAO DOMINGOS;0.015782937066399296
LAJEADO;0.005509128226657781
