ds_origem_nome;percent_empregos_destino
AGUA RASA;0.3691733346420823
ALTO DE PINHEIROS;0.5632483448094225
ANHANGUERA;0.1994210723435044
ARICANDUVA;0.1453921661155143
ARTUR ALVIM;0.2340904546667914
BARRA FUNDA;0.6431221765906721
BELA VISTA;0.7738444429756163
BELEM;0.5800374915188182
BOM RETIRO;0.544604663595492
BRAS;0.5263421294850203
BRASILANDIA;0.20212670224927082
BUTANTA;0.5404835037928851
CACHOEIRINHA;0.0878579874605368
CAMBUCI;0.5832520731642667
CAMPO BELO;0.7169712359330774
CAMPO GRANDE;0.2382175873212036
CAMPO LIMPO;0.1481581362169294
CANGAIBA;0.199914768124357
CAPAO REDONDO;0.1059302538580749
CARRAO;0.2123996475441725
CASA VERDE;0.31903336661698867
CIDADE ADEMAR;0.2722850429104418
CIDADE DUTRA;0.1463671442201551
CIDADE LIDER;0.1654932231699578
CIDADE TIRADENTES;0.0218454176298936
CONSOLACAO;0.783376035025952
CURSINO;0.4835219633094899
ERMELINO MATARAZZO;0.1152551348624953
FREGUESIA DO O;0.27287754261332786
GRAJAU;0.0428580542053568
GUAIANASES;0.0400854635935068
IGUATEMI;0.0479341866571595
IPIRANGA;0.519836578456879
ITAIM BIBI;0.7888624592195422
ITAIM PAULISTA;0.0883612901777275
ITAQUERA;0.1072994401818702
JABAQUARA;0.6597382185408166
JACANA;0.2949035490577474
JAGUARA;0.2017023779038439
JAGUARE;0.4160865234508724
JARAGUA;0.1541826208074936
JARDIM ANGELA;0.0305203012375422
JARDIM HELENA;0.0695659489013887
JARDIM PAULISTA;0.7561839075612646
JARDIM SAO LUIS;0.17056870796313128
JOSE BONIFACIO;0.0530373048851913
LAJEADO;0.0376322766291047
LAPA;0.663064485318818
LIBERDADE;0.6847674180502222
LIMAO;0.29900643049458797
MANDAQUI;0.141227829070941
MARSILAC;0.0687793315148277
MOEMA;0.7931164969843009
MOOCA;0.3847430480952365
MORUMBI;0.6728878116007082
PARELHEIROS;0.0170060763692427
PARI;0.4402550925847783
PARQUE DO CARMO;0.15905510060135392
PEDREIRA;0.1094712194717553
PENHA;0.4265538382966938
PERDIZES;0.7711379135439753
PERUS;0.0391272886321984
PINHEIROS;0.7543149446617056
PIRITUBA;0.2629839813511723
PONTE RASA;0.1799986176086354
RAPOSO TAVARES;0.1127748901597944
REPUBLICA;0.6896665957720323
RIO PEQUENO;0.399635382584005
SACOMA;0.32019886430180733
SANTA CECILIA;0.6172938742755696
SANTANA;0.5770494104885199
SANTO AMARO;0.5877995002881883
SAO DOMINGOS;0.2160389133453973
SAO LUCAS;0.186258777978267
SAO MATEUS;0.10390059965632979
SAO MIGUEL;0.0658754101253287
SAO RAFAEL;0.079076240179021
SAPOPEMBA;0.1712270529600165
SAUDE;0.6969147593809647
SE;0.5597722170207624
SOCORRO;0.2579476439240492
TATUAPE;0.6188987363784325
TREMEMBE;0.1169549868976854
TUCURUVI;0.33887554012480753
VILA ANDRADE;0.4339285831866579
VILA CURUCA;0.0415219344527005
VILA FORMOSA;0.329581494867358
VILA GUILHERME;0.3063423158667827
VILA JACUI;0.11047314737158989
VILA LEOPOLDINA;0.7045154651705537
VILA MARIA;0.3536236986064426
VILA MARIANA;0.7572713623812284
VILA MATILDE;0.31999463594730493
VILA MEDEIROS;0.1880995317464081
VILA PRUDENTE;0.6092405990281001
VILA SONIA;0.5579547070012132
