MOTIVO_D;DURACAO;ds_origem_sigla;ds_origem_nome;ds_destino_sigla;ds_destino_nome
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;50;SEE;SE;PIN;PINHEIROS
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;20;SEE;SE;BVI;BELA VISTA
Procurar Emprego;15;SEE;SE;REP;REPUBLICA
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Serviços;20;SEE;SE;VMN;VILA MARIANA
Trabalho Serviços;25;SEE;SE;VMN;VILA MARIANA
Trabalho Serviços;40;SEE;SE;JDP;JARDIM PAULISTA
Procurar Emprego;40;SEE;SE;TAT;TATUAPE
Trabalho Serviços;15;SEE;SE;REP;REPUBLICA
Trabalho Serviços;80;SEE;SE;fora_sp;Fora São Paulo
Trabalho Serviços;60;SEE;SE;TUC;TUCURUVI
Trabalho Serviços;10;SEE;SE;SEE;SE
Trabalho Comércio;15;SEE;SE;BRE;BOM RETIRO
Trabalho Serviços;75;SEE;SE;fora_sp;Fora São Paulo
Trabalho Comércio;3;SEE;SE;SEE;SE
Trabalho Comércio;3;SEE;SE;SEE;SE
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Indústria;70;SEE;SE;SDO;SAO DOMINGOS
Trabalho Serviços;10;SEE;SE;SEE;SE
Trabalho Serviços;30;SEE;SE;BRS;BRAS
Trabalho Serviços;45;SEE;SE;MAN;MANDAQUI
Trabalho Serviços;5;STN;SANTANA;MAN;MANDAQUI
Trabalho Serviços;15;SEE;SE;BVI;BELA VISTA
Trabalho Serviços;5;JDP;JARDIM PAULISTA;BVI;BELA VISTA
Trabalho Comércio;30;SEE;SE;BVI;BELA VISTA
Trabalho Comércio;45;SEE;SE;INI;ITAIM BIBI
Trabalho Serviços;45;SEE;SE;BUT;BUTANTA
Trabalho Serviços;30;CON;CONSOLACAO;MOE;MOEMA
Trabalho Serviços;20;SEE;SE;BRS;BRAS
Trabalho Serviços;100;SEE;SE;VCR;VILA CURUCA
Trabalho Serviços;45;SEE;SE;JDP;JARDIM PAULISTA
Trabalho Serviços;10;JDP;JARDIM PAULISTA;JDP;JARDIM PAULISTA
Trabalho Serviços;25;SEE;SE;REP;REPUBLICA
Trabalho Serviços;30;SEE;SE;VMN;VILA MARIANA
Trabalho Serviços;30;SEE;SE;CON;CONSOLACAO
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;10;SEE;SE;REP;REPUBLICA
Trabalho Serviços;1;SEE;SE;SEE;SE
Trabalho Serviços;1;SEE;SE;SEE;SE
Trabalho Serviços;1;SEE;SE;SEE;SE
Trabalho Indústria;5;SEE;SE;SEE;SE
Trabalho Serviços;2;SEE;SE;SEE;SE
Trabalho Serviços;2;SEE;SE;SEE;SE
Trabalho Serviços;30;SEE;SE;CMB;CAMBUCI
Trabalho Serviços;45;SEE;SE;PIN;PINHEIROS
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;15;SEE;SE;SEE;SE
Trabalho Serviços;15;SEE;SE;REP;REPUBLICA
Trabalho Serviços;5;REP;REPUBLICA;REP;REPUBLICA
Trabalho Serviços;3;SEE;SE;REP;REPUBLICA
Trabalho Serviços;3;SEE;SE;REP;REPUBLICA
Trabalho Serviços;40;SEE;SE;VGL;VILA GUILHERME
Trabalho Serviços;40;SEE;SE;SCE;SANTA CECILIA
Trabalho Serviços;60;SEE;SE;CBE;CAMPO BELO
Trabalho Comércio;60;SEE;SE;CVE;CASA VERDE
Trabalho Serviços;25;SEE;SE;JDP;JARDIM PAULISTA
Trabalho Serviços;20;BRE;BOM RETIRO;STN;SANTANA
Trabalho Serviços;15;STN;SANTANA;PRI;PARI
Trabalho Comércio;30;SEE;SE;SEE;SE
Trabalho Comércio;30;SEE;SE;SEE;SE
Trabalho Comércio;5;SEE;SE;SEE;SE
Trabalho Comércio;5;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Comércio;10;SEE;SE;SEE;SE
Trabalho Serviços;70;SEE;SE;INI;ITAIM BIBI
Trabalho Serviços;50;SEE;SE;MOE;MOEMA
Trabalho Serviços;10;SEE;SE;SEE;SE
Trabalho Serviços;4;SEE;SE;REP;REPUBLICA
Trabalho Comércio;25;SEE;SE;PRI;PARI
Trabalho Serviços;30;SEE;SE;PIN;PINHEIROS
Trabalho Comércio;10;SEE;SE;BRE;BOM RETIRO
